v_alpha, I_out_I
0.864000, 196.252770
0.865000, 196.244118
0.866000, 196.235457
0.867000, 196.226785
0.868000, 196.218103
0.869000, 196.209412
0.870000, 196.200711
0.871000, 196.192000
0.872000, 196.183279
0.873000, 196.174548
0.874000, 196.165807
0.875000, 196.157056
0.876000, 196.148296
0.877000, 196.139525
0.878000, 196.130745
0.879000, 196.121955
0.880000, 196.113154
0.881000, 196.104345
0.882000, 196.095525
0.883000, 196.086695
0.884000, 196.077855
0.885000, 196.069006
0.886000, 196.060147
0.887000, 196.051277
0.888000, 196.042398
0.889000, 196.033509
0.890000, 196.024611
0.891000, 196.015702
0.892000, 196.006783
0.893000, 195.997855
0.894000, 195.988917
0.895000, 195.979969
0.896000, 195.971010
0.897000, 195.962043
0.898000, 195.953065
0.899000, 195.944077
0.900000, 195.935080
0.901000, 195.926072
0.902000, 195.917055
0.903000, 195.908028
0.904000, 195.898991
0.905000, 195.889944
0.906000, 195.880888
0.907000, 195.871821
0.908000, 195.862745
0.909000, 195.853658
0.910000, 195.844562
0.911000, 195.835456
0.912000, 195.826340
0.913000, 195.817215
0.914000, 195.808079
0.915000, 195.798933
0.916000, 195.789778
0.917000, 195.780613
0.918000, 195.771438
0.919000, 195.762253
0.920000, 195.753058
0.921000, 195.743854
0.922000, 195.734639
0.923000, 195.725415
0.924000, 195.716181
0.925000, 195.706937
0.926000, 195.697683
0.927000, 195.688419
0.928000, 195.679146
0.929000, 195.669862
0.930000, 195.660569
0.931000, 195.651266
0.932000, 195.641953
0.933000, 195.632630
0.934000, 195.623297
0.935000, 195.613955
0.936000, 195.604602
0.937000, 195.595240
0.938000, 195.585868
0.939000, 195.576486
0.940000, 195.567094
0.941000, 195.557693
0.942000, 195.548281
0.943000, 195.538860
0.944000, 195.529429
0.945000, 195.519988
0.946000, 195.510537
0.947000, 195.501076
0.948000, 195.491605
0.949000, 195.482125
0.950000, 195.472635
0.951000, 195.463135
0.952000, 195.453625
0.953000, 195.444105
0.954000, 195.434575
0.955000, 195.425036
0.956000, 195.415487
0.957000, 195.405927
0.958000, 195.396358
0.959000, 195.386780
0.960000, 195.377191
0.961000, 195.367592
0.962000, 195.357984
0.963000, 195.348366
0.964000, 195.338738
0.965000, 195.329100
0.966000, 195.319452
0.967000, 195.309795
0.968000, 195.300128
0.969000, 195.290450
0.970000, 195.280763
0.971000, 195.271066
0.972000, 195.261360
0.973000, 195.251643
0.974000, 195.241917
0.975000, 195.232181
0.976000, 195.222435
0.977000, 195.212679
0.978000, 195.202913
0.979000, 195.193138
0.980000, 195.183352
0.981000, 195.173557
0.982000, 195.163752
0.983000, 195.153937
0.984000, 195.144113
0.985000, 195.134278
0.986000, 195.124434
0.987000, 195.114580
0.988000, 195.104716
0.989000, 195.094842
0.990000, 195.084959
0.991000, 195.075065
0.992000, 195.065162
0.993000, 195.055249
0.994000, 195.045326
0.995000, 195.035393
0.996000, 195.025451
0.997000, 195.015498
0.998000, 195.005536
0.999000, 194.995564
1.000000, 194.985582
1.001000, 194.975591
