v_in, I_a, I_b
24.700000, 0.359806, 0.359806
24.800000, 0.367095, 0.367095
24.900000, 0.374199, 0.374199
25.000000, 0.381115, 0.381115
25.100000, 0.387838, 0.387838
25.200000, 0.394367, 0.394367
25.300000, 0.400696, 0.400696
25.400000, 0.406824, 0.406824
25.500000, 0.412748, 0.412748
25.600000, 0.418463, 0.418463
25.700000, 0.423967, 0.423967
25.800000, 0.429259, 0.429259
25.900000, 0.434334, 0.434334
26.000000, 0.439190, 0.439190
26.100000, 0.443825, 0.443825
26.200000, 0.448237, 0.448237
26.300000, 0.452423, 0.452423
26.400000, 0.456381, 0.456381
26.500000, 0.460109, 0.460109
26.600000, 0.463606, 0.463606
26.700000, 0.466869, 0.466869
26.800000, 0.469897, 0.469897
26.900000, 0.472689, 0.472689
27.000000, 0.475242, 0.475242
27.100000, 0.477556, 0.477556
27.200000, 0.479630, 0.479630
27.300000, 0.481462, 0.481462
27.400000, 0.483052, 0.483052
27.500000, 0.484399, 0.484399
27.600000, 0.485502, 0.485502
27.700000, 0.486360, 0.486360
27.800000, 0.486973, 0.486973
27.900000, 0.487341, 0.487341
