v_alpha, I_out_I
0.481000, 398.836109
0.482000, 398.831270
0.483000, 398.826420
0.484000, 398.821560
0.485000, 398.816690
0.486000, 398.811810
0.487000, 398.806921
0.488000, 398.802021
0.489000, 398.797111
0.490000, 398.792191
0.491000, 398.787261
0.492000, 398.782321
0.493000, 398.777371
0.494000, 398.772412
0.495000, 398.767442
0.496000, 398.762462
0.497000, 398.757472
0.498000, 398.752472
0.499000, 398.747462
0.500000, 398.742442
0.501000, 398.737412
0.502000, 398.732372
0.503000, 398.727322
0.504000, 398.722262
0.505000, 398.717192
0.506000, 398.712112
0.507000, 398.707022
0.508000, 398.701922
0.509000, 398.696812
0.510000, 398.691692
0.511000, 398.686562
0.512000, 398.681422
0.513000, 398.676272
0.514000, 398.671112
0.515000, 398.665942
0.516000, 398.660762
0.517000, 398.655572
0.518000, 398.650372
0.519000, 398.645162
0.520000, 398.639942
0.521000, 398.634712
0.522000, 398.629472
0.523000, 398.624222
0.524000, 398.618961
0.525000, 398.613691
0.526000, 398.608411
0.527000, 398.603121
0.528000, 398.597821
0.529000, 398.592511
0.530000, 398.587191
0.531000, 398.581861
0.532000, 398.576521
0.533000, 398.571171
0.534000, 398.565811
0.535000, 398.560441
0.536000, 398.555061
0.537000, 398.549671
0.538000, 398.544271
0.539000, 398.538860
0.540000, 398.533440
0.541000, 398.528010
0.542000, 398.522570
0.543000, 398.517120
0.544000, 398.511660
0.545000, 398.506190
0.546000, 398.500710
0.547000, 398.495220
0.548000, 398.489720
0.549000, 398.484210
0.550000, 398.478690
0.551000, 398.473160
0.552000, 398.467620
0.553000, 398.462070
0.554000, 398.456510
0.555000, 398.450940
0.556000, 398.445360
0.557000, 398.439770
0.558000, 398.434170
0.559000, 398.428560
0.560000, 398.422940
0.561000, 398.417310
0.562000, 398.411670
0.563000, 398.406020
0.564000, 398.400361
0.565000, 398.394691
0.566000, 398.389011
0.567000, 398.383321
0.568000, 398.377621
0.569000, 398.371911
0.570000, 398.366191
0.571000, 398.360461
0.572000, 398.354722
0.573000, 398.348972
0.574000, 398.343212
0.575000, 398.337442
0.576000, 398.331662
0.577000, 398.325873
0.578000, 398.320073
0.579000, 398.314263
0.580000, 398.308443
0.581000, 398.302614
0.582000, 398.296774
0.583000, 398.290924
0.584000, 398.285065
0.585000, 398.279195
0.586000, 398.273315
0.587000, 398.267426
0.588000, 398.261526
0.589000, 398.255617
0.590000, 398.249697
0.591000, 398.243768
0.592000, 398.237828
0.593000, 398.231878
0.594000, 398.225919
0.595000, 398.219949
0.596000, 398.213970
0.597000, 398.207981
0.598000, 398.201981
0.599000, 398.195972
0.600000, 398.189952
0.601000, 398.183923
0.602000, 398.177884
0.603000, 398.171834
0.604000, 398.165775
0.605000, 398.159706
0.606000, 398.153626
0.607000, 398.147537
0.608000, 398.141438
0.609000, 398.135329
0.610000, 398.129210
0.611000, 398.123081
0.612000, 398.116941
0.613000, 398.110792
0.614000, 398.104633
0.615000, 398.098464
0.616000, 398.092285
0.617000, 398.086096
0.618000, 398.079897
0.619000, 398.073688
0.620000, 398.067469
0.621000, 398.061240
0.622000, 398.055002
0.623000, 398.048753
0.624000, 398.042494
0.625000, 398.036225
0.626000, 398.029946
0.627000, 398.023658
0.628000, 398.017359
0.629000, 398.011050
0.630000, 398.004732
0.631000, 397.998403
0.632000, 397.992064
0.633000, 397.985716
0.634000, 397.979357
0.635000, 397.972989
0.636000, 397.966610
0.637000, 397.960222
0.638000, 397.953823
0.639000, 397.947415
0.640000, 397.940997
0.641000, 397.934568
0.642000, 397.928130
0.643000, 397.921682
0.644000, 397.915224
0.645000, 397.908756
0.646000, 397.902277
0.647000, 397.895789
0.648000, 397.889291
0.649000, 397.882783
0.650000, 397.876265
0.651000, 397.869737
0.652000, 397.863199
0.653000, 397.856651
0.654000, 397.850094
0.655000, 397.843526
0.656000, 397.836948
0.657000, 397.830360
0.658000, 397.823763
0.659000, 397.817155
0.660000, 397.810537
0.661000, 397.803910
0.662000, 397.797272
0.663000, 397.790625
0.664000, 397.783967
0.665000, 397.777300
0.666000, 397.770622
0.667000, 397.763935
0.668000, 397.757238
0.669000, 397.750530
0.670000, 397.743813
0.671000, 397.737086
0.672000, 397.730349
0.673000, 397.723602
0.674000, 397.716845
0.675000, 397.710078
0.676000, 397.703301
0.677000, 397.696514
0.678000, 397.689717
0.679000, 397.682910
0.680000, 397.676093
0.681000, 397.669267
0.682000, 397.662430
0.683000, 397.655583
0.684000, 397.648727
0.685000, 397.641860
0.686000, 397.634984
0.687000, 397.628097
0.688000, 397.621201
0.689000, 397.614295
0.690000, 397.607378
0.691000, 397.600452
0.692000, 397.593516
0.693000, 397.586570
0.694000, 397.579614
0.695000, 397.572648
0.696000, 397.565672
0.697000, 397.558686
0.698000, 397.551690
0.699000, 397.544684
0.700000, 397.537668
0.701000, 397.530642
0.702000, 397.523607
0.703000, 397.516561
0.704000, 397.509505
0.705000, 397.502440
0.706000, 397.495365
0.707000, 397.488279
0.708000, 397.481184
0.709000, 397.474078
0.710000, 397.466963
0.711000, 397.459838
0.712000, 397.452703
0.713000, 397.445558
0.714000, 397.438403
0.715000, 397.431238
0.716000, 397.424063
0.717000, 397.416878
0.718000, 397.409683
0.719000, 397.402479
0.720000, 397.395264
0.721000, 397.388039
0.722000, 397.380805
0.723000, 397.373560
0.724000, 397.366306
0.725000, 397.359042
0.726000, 397.351767
0.727000, 397.344483
0.728000, 397.337189
0.729000, 397.329885
0.730000, 397.322571
0.731000, 397.315247
0.732000, 397.307913
0.733000, 397.300569
0.734000, 397.293215
0.735000, 397.285851
0.736000, 397.278478
0.737000, 397.271094
0.738000, 397.263701
0.739000, 397.256297
0.740000, 397.248884
0.741000, 397.241460
0.742000, 397.234027
0.743000, 397.226584
0.744000, 397.219131
0.745000, 397.211668
0.746000, 397.204195
0.747000, 397.196712
0.748000, 397.189219
0.749000, 397.181716
0.750000, 397.174204
0.751000, 397.166681
0.752000, 397.159149
0.753000, 397.151606
0.754000, 397.144054
0.755000, 397.136491
0.756000, 397.128919
0.757000, 397.121337
0.758000, 397.113745
0.759000, 397.106143
0.760000, 397.098531
0.761000, 397.090909
0.762000, 397.083277
0.763000, 397.075635
0.764000, 397.067984
0.765000, 397.060322
0.766000, 397.052650
0.767000, 397.044969
0.768000, 397.037278
0.769000, 397.029576
0.770000, 397.021865
0.771000, 397.014144
0.772000, 397.006413
0.773000, 396.998672
