X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-1.200000e-03,2.000000e-06
153,1.44e+01,5.40e-01,2.12e+02,
154,1.36e+01,5.40e-01,2.08e+02,
155,1.48e+01,6.40e-01,2.16e+02,
156,1.48e+01,6.20e-01,2.08e+02,
157,1.44e+01,7.20e-01,2.20e+02,
158,1.44e+01,7.00e-01,2.20e+02,
159,1.52e+01,8.00e-01,2.12e+02,
160,1.44e+01,7.80e-01,2.16e+02,
161,1.52e+01,8.80e-01,2.28e+02,
162,1.52e+01,8.60e-01,2.24e+02,
163,1.48e+01,9.40e-01,2.32e+02,
164,1.48e+01,9.40e-01,2.28e+02,
165,1.60e+01,1.04e+00,2.32e+02,
166,1.52e+01,1.00e+00,2.28e+02,
167,1.60e+01,1.10e+00,2.36e+02,
168,1.56e+01,1.08e+00,2.32e+02,
169,1.64e+01,1.16e+00,2.40e+02,
170,1.56e+01,1.12e+00,2.36e+02,
171,1.64e+01,1.20e+00,2.44e+02,
172,1.60e+01,1.16e+00,2.44e+02,
173,1.68e+01,1.26e+00,2.48e+02,
174,1.60e+01,1.22e+00,2.44e+02,
175,1.72e+01,1.28e+00,2.52e+02,
176,1.68e+01,1.26e+00,2.48e+02,
177,1.72e+01,1.30e+00,2.56e+02,
178,1.68e+01,1.28e+00,2.52e+02,
179,1.76e+01,1.32e+00,2.60e+02,
180,1.76e+01,1.28e+00,2.60e+02,
181,1.68e+01,1.32e+00,2.56e+02,
182,1.76e+01,1.32e+00,2.56e+02,
183,1.72e+01,1.28e+00,2.64e+02,
184,1.72e+01,1.32e+00,2.60e+02,
185,1.84e+01,1.28e+00,2.72e+02,
186,1.80e+01,1.30e+00,2.68e+02,
187,1.84e+01,1.26e+00,2.76e+02,
188,1.80e+01,1.28e+00,2.76e+02,
189,1.88e+01,1.24e+00,2.72e+02,
190,1.80e+01,1.26e+00,2.72e+02,
191,1.88e+01,1.18e+00,2.80e+02,
192,1.88e+01,1.20e+00,2.76e+02,
193,1.84e+01,1.14e+00,2.84e+02,
194,1.84e+01,1.16e+00,2.80e+02,
195,1.96e+01,1.08e+00,2.88e+02,
196,1.92e+01,1.10e+00,2.88e+02,
197,1.96e+01,1.00e+00,2.88e+02,
198,1.92e+01,1.02e+00,2.88e+02,
199,2.00e+01,9.20e-01,2.96e+02,
200,2.00e+01,9.40e-01,2.92e+02,
201,1.92e+01,8.40e-01,3.00e+02,
202,1.96e+01,8.80e-01,2.96e+02,
203,2.08e+01,7.60e-01,3.04e+02,
204,2.08e+01,7.80e-01,3.00e+02,
205,1.96e+01,7.00e-01,3.04e+02,
206,2.04e+01,7.20e-01,3.00e+02,
207,2.08e+01,6.00e-01,3.08e+02,
208,2.04e+01,6.20e-01,3.04e+02,
209,2.12e+01,5.20e-01,3.16e+02,
210,2.04e+01,5.40e-01,3.12e+02,
211,2.12e+01,4.40e-01,3.20e+02,
212,2.08e+01,4.60e-01,3.12e+02,
213,2.20e+01,3.60e-01,3.20e+02,
214,2.08e+01,3.80e-01,3.16e+02,
215,2.20e+01,3.00e-01,3.24e+02,
216,2.16e+01,3.20e-01,3.20e+02,
217,2.20e+01,2.20e-01,3.28e+02,
218,2.16e+01,2.60e-01,3.24e+02,
219,2.24e+01,1.60e-01,3.32e+02,
220,2.24e+01,2.00e-01,3.32e+02,
221,2.20e+01,1.00e-01,3.28e+02,
222,2.20e+01,1.40e-01,3.32e+02,
223,2.32e+01,6.00e-02,3.40e+02,
224,2.20e+01,1.00e-01,3.36e+02,
225,2.32e+01,4.00e-02,3.44e+02,
226,2.28e+01,8.00e-02,3.40e+02,
227,2.32e+01,0.00e+00,3.48e+02,
228,2.28e+01,6.00e-02,3.44e+02,
229,2.36e+01,0.00e+00,3.48e+02,
230,2.36e+01,2.00e-02,3.44e+02,
231,2.32e+01,-2.00e-02,3.52e+02,
232,2.32e+01,0.00e+00,3.48e+02,
233,2.44e+01,4.00e-02,3.60e+02,
234,2.32e+01,2.00e-02,3.56e+02,
235,2.44e+01,8.00e-02,3.64e+02,
236,2.44e+01,4.00e-02,3.56e+02,
237,2.40e+01,1.00e-01,3.64e+02,
238,2.40e+01,8.00e-02,3.60e+02,
239,2.48e+01,1.40e-01,3.68e+02,
240,2.48e+01,1.00e-01,3.64e+02,
241,2.44e+01,2.00e-01,3.72e+02,
242,2.44e+01,1.80e-01,3.68e+02,
243,2.56e+01,2.40e-01,3.76e+02,
244,2.56e+01,2.20e-01,3.76e+02,
245,2.44e+01,3.20e-01,3.68e+02,
246,2.52e+01,3.00e-01,3.76e+02,
247,2.60e+01,4.00e-01,3.84e+02,
248,2.60e+01,3.60e-01,3.80e+02,
249,2.52e+01,4.80e-01,3.88e+02,
250,2.56e+01,4.60e-01,3.84e+02,
251,2.60e+01,5.60e-01,3.88e+02,
252,2.56e+01,5.40e-01,3.84e+02,
253,2.68e+01,6.40e-01,3.92e+02,
254,2.60e+01,6.20e-01,3.88e+02,
255,2.68e+01,7.40e-01,3.96e+02,
256,2.64e+01,7.20e-01,3.96e+02,
257,2.72e+01,8.00e-01,3.92e+02,
258,2.72e+01,7.80e-01,3.92e+02,
259,2.64e+01,9.00e-01,4.04e+02,
